home_team,away_team,season,stage,date,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
VAL,NUM,2008/2009,7,10/19/08 0:00,4,0,19435,34007,34029,37479,34008,37824,30666,38701,41468,34231,30909,75195,75199,,38561,74435,38008,75216,,38550,46211,38526
VAL,HUE,2008/2009,7,10/19/08 0:00,1,1,96623,37597,33022,43374,2790,75192,33586,33820,33729,38471,39142,33958,37434,37440,42310,37423,74747,37448,38035,,18628,96623
BIL,BAR,2008/2009,7,10/19/08 0:00,0,1,33764,33025,33993,37604,154938,30287,30277,33866,37605,37408,33030,32657,33988,30740,37482,30738,107930,36615,26146,30955,33639,30626
ALM,SEV,2008/2009,7,10/19/08 0:00,0,1,96613,74403,74663,18501,37622,37419,11555,75239,5243,38581,75310,33986,39562,38138,33990,33848,33759,34000,33991,31014,33992,46295
MAL,GET,2008/2009,7,10/19/08 0:00,2,1,33826,33843,25913,41707,38479,33666,102612,11758,43310,37450,45744,34382,37470,37427,32675,37468,30468,37474,37471,41156,37469,37506
OSA,BET,2008/2009,8,10/25/08 0:00,0,2,24591,72541,33865,33874,72542,38424,33870,42369,33641,37497,108809,46531,31303,33655,30750,37426,42173,25571,37422,33665,38578,18164
BAR,ALM,2008/2009,8,10/25/08 0:00,5,0,32657,33988,30661,30740,30738,39854,36615,30955,30981,33639,30626,96613,74403,74404,18501,115229,38581,75239,5243,11555,45605,75310
SEV,MAL,2008/2009,8,10/26/08 0:00,0,1,33986,38148,33812,33990,33848,34000,33759,33991,30443,33992,34106,33826,33843,25913,41707,38479,33666,102612,11758,43310,38025,45744
COR,SPG,2008/2009,8,10/26/08 0:00,0,3,33018,33756,37451,70891,41167,33758,30271,37447,38573,31045,37446,33630,74743,75608,33895,74752,33611,78404,97334,38004,24383,41294
MAL,ESP,2008/2009,8,10/26/08 0:00,3,0,33845,24131,33856,30276,33861,37491,31498,38160,38398,37411,33028,25563,28439,33768,38385,75196,33773,32766,24099,37429,32764,24852
VIL,AMA,2008/2009,8,10/26/08 0:00,4,4,41466,30279,38458,56678,40599,30958,42479,37436,37478,38699,38551,30664,37413,30839,114044,34103,25924,108568,38492,33632,30663,38460
REA,BIL,2008/2009,8,10/26/08 0:00,3,2,30657,30658,25921,30670,28467,30878,18814,30840,25759,30655,30834,33764,33025,33993,37604,154938,30287,30277,33866,,37408,33030
NUM,SAN,2008/2009,8,10/26/08 0:00,2,1,75195,75199,102614,38561,74435,102374,38008,38550,,102002,46211,37579,33896,33828,80497,41196,33634,37512,32999,33892,33891,150644
